mc_run_id,grouping,mean_watscar,mean_watuse,sd_watscar,sd_watuse,n_participants,sex,diet_group,age_group,diet_sex_group,outliers
3,vegan_female_20-29,12211.59671,531.7946176,6827.474379,386.939017,487,female,vegan,20-29,vegan_female,0
3,vegan_female_30-39,12962.40039,580.1784186,5693.352102,388.6528073,376,female,vegan,30-39,vegan_female,0
3,vegan_female_40-49,14396.95648,636.7013672,8244.640922,506.9016263,219,female,vegan,40-49,vegan_female,0
3,vegan_female_50-59,15820.86225,556.8170314,10634.9386,374.6933978,106,female,vegan,50-59,vegan_female,0
3,vegan_female_60-69,16004.94985,571.9630997,10351.96437,389.8598051,81,female,vegan,60-69,vegan_female,0
3,vegan_female_70-79,15592.11227,698.9013964,6920.574595,419.4658715,25,female,vegan,70-79,vegan_female,0
3,vegan_male_20-29,13504.55101,598.7150627,6344.282278,336.1916766,198,male,vegan,20-29,vegan_male,0
3,vegan_male_30-39,13724.51734,596.952722,7668.982012,362.1990584,251,male,vegan,30-39,vegan_male,0
3,vegan_male_40-49,13986.2384,619.3501857,7117.880679,442.8490077,165,male,vegan,40-49,vegan_male,0
3,vegan_male_50-59,14210.35773,536.4662496,5531.829891,234.596776,62,male,vegan,50-59,vegan_male,0
3,vegan_male_60-69,16900.45673,653.8310004,10630.92946,464.0423158,52,male,vegan,60-69,vegan_male,0
3,vegan_male_70-79,16398.51034,698.5696943,9590.473634,348.6547141,19,male,vegan,70-79,vegan_male,0
3,veggie_female_20-29,14131.68022,591.2604825,5303.532093,247.2719211,3752,female,veggie,20-29,veggie_female,0
3,veggie_female_30-39,14643.02984,623.0254855,5923.083836,270.9165441,3634,female,veggie,30-39,veggie_female,0
3,veggie_female_40-49,15279.51926,636.9874913,6607.846343,296.1956117,2696,female,veggie,40-49,veggie_female,0
3,veggie_female_50-59,16117.63141,657.7584346,7594.346791,328.829173,1203,female,veggie,50-59,veggie_female,0
3,veggie_female_60-69,17675.60648,712.9587475,9884.036416,453.3670941,536,female,veggie,60-69,veggie_female,0
3,veggie_female_70-79,18358.38056,709.4184865,10593.84767,450.2464605,289,female,veggie,70-79,veggie_female,0
3,veggie_male_20-29,15308.90855,651.2285265,6116.82014,244.7027107,646,male,veggie,20-29,veggie_male,0
3,veggie_male_30-39,15517.50536,665.0940271,6809.940311,316.9330217,1221,male,veggie,30-39,veggie_male,0
3,veggie_male_40-49,15613.71165,673.2173947,6552.871531,288.7882246,961,male,veggie,40-49,veggie_male,0
